algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0,0925,9510,8
QuickSort,random,1000,0,1020,10925,6
QuickSelect,random,1000,0,0228,3267,14
MergeSort,sorted,1000,0,0424,4236,8
QuickSort,sorted,1000,0,0709,10788,6
QuickSelect,sorted,1000,0,0132,3117,10
MergeSort,duplicates,1000,0,0700,9117,8
QuickSort,duplicates,1000,0,1137,3245,3
QuickSelect,duplicates,1000,0,0178,2172,4
MergeSort,random,10000,1,0377,127001,11
QuickSort,random,10000,0,8991,149045,9
QuickSelect,random,10000,0,3720,28998,16
MergeSort,sorted,10000,0,9114,59248,11
QuickSort,sorted,10000,0,3590,151556,9
QuickSelect,sorted,10000,0,0319,27783,15
MergeSort,duplicates,10000,0,8211,121443,11
QuickSort,duplicates,10000,0,1178,35761,2
QuickSelect,duplicates,10000,0,0906,25053,4
MergeSort,random,100000,6,1849,1638989,14
QuickSort,random,100000,8,6341,1984433,10
QuickSelect,random,100000,0,8938,248313,19
MergeSort,sorted,100000,2,4770,744016,14
QuickSort,sorted,100000,3,8843,2046484,10
QuickSelect,sorted,100000,0,2319,228990,23
MergeSort,duplicates,100000,3,8614,1561354,14
QuickSort,duplicates,100000,1,0955,349531,2
QuickSelect,duplicates,100000,0,7719,200178,4
MergeSort,random,1000000,92,4120,19886194,18
QuickSort,random,1000000,78,7131,24540370,13
QuickSelect,random,1000000,6,1089,3241040,25
MergeSort,sorted,1000000,23,2226,9071040,18
QuickSort,sorted,1000000,40,3312,24152163,13
QuickSelect,sorted,1000000,3,5010,3760779,29
MergeSort,duplicates,1000000,41,7169,18921568,18
QuickSort,duplicates,1000000,10,3429,3400801,2
QuickSelect,duplicates,1000000,7,3922,3099118,4
